# Time	Re(Corr).mean	Re(Corr).stde	Im(Corr).mean	Im(Corr).stde
22	4.899529350004091e-17	8.061989920877728e-19	3.8143863933043426e-38	2.884464187619641e-38
23	4.7452275126320626e-17	7.899080396184671e-19	8.225346207869058e-39	3.0092542030289515e-38
24	4.5912404032515664e-17	7.705279862017227e-19	1.704620361905016e-38	2.789471102085731e-38
25	4.408876924951423e-17	7.519070626933479e-19	-7.21065210419968e-38	2.6146646861683436e-38
26	4.263639905326229e-17	7.31766456601058e-19	-2.4066409682293567e-38	2.2814273516082866e-38
27	4.128097997097712e-17	7.145853988116033e-19	-6.653058299309926e-39	2.7553013543555177e-38
28	3.9824876944655964e-17	6.85515002966557e-19	-1.507825899450772e-38	2.73984589986145e-38
29	3.85031397401246e-17	6.635528557987044e-19	4.7402686106722354e-39	2.521673093929196e-38
30	3.7025615619686216e-17	6.549279440893741e-19	4.309626127052293e-39	2.1401484046228988e-38
31	3.59346333320916e-17	6.305318231769258e-19	-3.3921519925184777e-39	2.030892222643036e-38
32	3.495331656011346e-17	6.284596177534853e-19	4.8523950804561804e-40	2.1410955235242958e-38
33	3.3694795784681574e-17	6.057797824403235e-19	-6.58483798327136e-39	1.894950680711614e-38
34	3.2635632639896404e-17	5.753966238651199e-19	7.522673895953883e-39	1.904072527439438e-38
35	3.1802443325138595e-17	5.765507315692011e-19	-1.4388076819117234e-38	2.0399164669308074e-38
36	3.0613319397996836e-17	5.466384389133831e-19	9.034726307811573e-39	1.9757540029750008e-38
37	2.981318548462991e-17	5.466090163155707e-19	4.2282957618138626e-39	1.728756673767838e-38
38	2.8890807870742164e-17	5.340283550651888e-19	1.968415228438771e-38	1.7342975913265093e-38
39	2.7908384151344536e-17	5.027172659125796e-19	2.0156857248285184e-39	1.5190496149153013e-38
40	2.7148921207838128e-17	4.86120569891682e-19	-4.7730449834422445e-39	1.6046023096670342e-38
41	2.6378239241342923e-17	4.821620264765281e-19	2.2572888709509578e-38	1.5220150232369082e-38
42	2.555599521326605e-17	4.59226180064768e-19	-1.9967627046587642e-38	1.440471072597388e-38
43	2.4941983038040364e-17	4.4902786064516585e-19	-1.9849434501000855e-38	1.6705729005712074e-38
44	2.4315550597749105e-17	4.390927433832357e-19	1.8215453891105662e-38	1.2977659820615466e-38
45	2.3853398075930886e-17	4.421361564294511e-19	2.2376774720634353e-38	1.354901024988962e-38
46	2.31165645329607e-17	4.1778115652440443e-19	-1.1240152669171992e-38	1.4980401020906215e-38
47	2.255319185549875e-17	4.149548542594883e-19	-8.582058728168319e-39	1.2069214271015054e-38
48	2.2102307936923926e-17	4.1165015757571225e-19	-6.813422554896111e-39	1.2600511230838997e-38
49	2.1502123760243378e-17	3.9188302913421714e-19	-1.802633490056128e-38	1.2469148409723463e-38
50	2.1086981816903888e-17	3.829975662253344e-19	-1.2548519229711388e-38	1.2404479364650136e-38
51	2.0681426934780865e-17	3.795011305471133e-19	1.2829898183326948e-38	1.0876875832803623e-38
52	2.0384969125458807e-17	3.7412829143751137e-19	1.178429400103628e-38	1.0920492036235309e-38
53	2.0082429648810925e-17	3.661101229547092e-19	1.4188115308344637e-38	9.980337481581783e-39
54	1.9759354778095676e-17	3.6729462944336337e-19	6.431458110973586e-39	1.136182539976173e-38
55	1.9651911049084742e-17	3.7326426779697593e-19	9.181261935402244e-39	1.2289632110550952e-38
56	1.9390436071691697e-17	3.7055781838222985e-19	4.374036162014111e-39	1.0240491393926396e-38
57	1.9087482050308257e-17	3.6960557650341156e-19	8.430561431608313e-39	1.073078918716414e-38
58	1.8912293711630177e-17	3.586363303809314e-19	-1.885048145441291e-39	1.1241694591484737e-38
59	1.8745613375223623e-17	3.61878695617467e-19	2.5464711255340225e-39	1.010260526826161e-38
60	1.8581496444069335e-17	3.549484063266142e-19	6.072303413633263e-39	9.486521820718326e-39
61	1.8531240273508532e-17	3.493271186014726e-19	-2.8651239369545983e-39	9.861610957871325e-39
62	1.8461350710763114e-17	3.495124572198021e-19	-2.6249432884084376e-39	9.392484665836761e-39
63	1.8399326490793035e-17	3.543851011049953e-19	-7.010468982125588e-39	1.1555014718240923e-38
64	1.8374018603607018e-17	3.5606216417879403e-19	1.2909733388702045e-38	1.0489267591247015e-38
65	1.829508618309074e-17	3.5052231075101556e-19	-4.1869315766706366e-39	1.2187022681116118e-38
66	1.8461721290544147e-17	3.528794396522221e-19	-1.1714710445542105e-38	9.363822194604693e-39
67	1.8664386104872335e-17	3.5567330470227476e-19	1.8488308153714076e-38	9.991907759666724e-39
68	1.87720496327352e-17	3.686929487964252e-19	-8.834432860337993e-39	1.0375423476604077e-38
69	1.87625485656402e-17	3.7019232650409487e-19	1.0628002669306268e-38	1.2120969530537063e-38
70	1.8823044759071806e-17	3.728306314885772e-19	5.292399582347056e-39	1.114116264192779e-38
71	1.9088884191103128e-17	3.724251018991536e-19	-3.9111513227310884e-39	1.026360062603813e-38
72	1.932629549283316e-17	3.788487295145382e-19	1.861805982750546e-38	9.989016361616225e-39
73	1.9622541532621237e-17	3.825934761732723e-19	-6.408577177982211e-39	1.0674442574998154e-38
74	1.9867393375849014e-17	3.8721756424535504e-19	8.401179086603801e-39	1.1409909618598711e-38
75	2.020438096104596e-17	3.959112992150309e-19	1.2635869306652822e-38	1.063834045681919e-38
76	2.049099542558215e-17	4.1983841046431365e-19	-8.631777378970009e-39	1.0836244486907011e-38
77	2.089364399898318e-17	4.260728207236799e-19	-1.416454560182981e-38	1.2235331051752972e-38
78	2.123608695080672e-17	4.2234633955142377e-19	1.3352461082551463e-38	1.1881565947239554e-38
79	2.1675163624178486e-17	4.385877126591621e-19	-1.2664671968173105e-38	1.4250433581323407e-38
80	2.2174170398157583e-17	4.495152744087514e-19	7.38786423602774e-39	1.0765562715354884e-38
81	2.279564552350518e-17	4.78705977681386e-19	-4.199191093996654e-39	1.2480438208502795e-38
82	2.3295943236711968e-17	4.901477954037994e-19	-6.983416518244816e-39	1.26644171391713e-38
83	2.371732962654211e-17	4.705639921610836e-19	-2.0192975707138345e-38	1.3400546265292416e-38
84	2.4468331455927904e-17	4.953167545175006e-19	-6.207817085239964e-39	1.324586516719113e-38
85	2.5134074020857584e-17	4.98238865696616e-19	3.67891034261893e-39	1.5471165513471911e-38
86	2.5847553408377665e-17	5.104884780250812e-19	-4.0655223710867096e-39	1.5658073993894964e-38
87	2.6593821549673917e-17	5.298978759061938e-19	-3.3053114842997734e-38	2.377307192128084e-38
88	2.7456249725104827e-17	5.784350378663109e-19	2.8137797376665187e-38	1.9513565729126312e-38
89	2.8117820144567204e-17	6.050576519422598e-19	-8.64342403552433e-39	1.5647593498302665e-38
90	2.9012508685492484e-17	5.891705948816331e-19	1.2902026842548203e-38	1.7186888185896617e-38
91	3.004291231053237e-17	6.076262456508377e-19	1.5591056924450456e-38	1.6823725265013328e-38
92	3.1130608410367303e-17	6.997162920245454e-19	1.0452059797197546e-38	2.0934201749169596e-38
93	3.2194900872696806e-17	7.395698627276778e-19	-1.391953562878959e-38	2.594872062960648e-38
94	3.294749789377653e-17	7.557956092694837e-19	2.408900444544775e-38	1.8962255161110604e-38
95	3.415255886896966e-17	7.7845667098603e-19	1.6821028536058128e-38	2.658875396750302e-38
96	3.5419501139363967e-17	8.202059112814982e-19	-2.6621614680681535e-38	2.374363346207072e-38
97	3.651003069214375e-17	8.650294369512499e-19	5.175841314417669e-38	2.6682137599748694e-38
98	3.774986337361891e-17	8.81815141788476e-19	2.1099974007785912e-38	2.464802037925598e-38
99	3.9110740404293486e-17	9.249298214802473e-19	1.7282597616919164e-38	2.8405114316002073e-38
100	4.021297600525311e-17	8.985745123756488e-19	9.805863004492846e-39	3.597069191046663e-38
101	4.2061282948449105e-17	1.0923364532679888e-18	-1.1965959431536963e-37	7.508173378251248e-38
102	4.3306368525132144e-17	1.0372430741120782e-18	-9.665162879395573e-39	3.2171306835007334e-38
103	4.459239427139226e-17	9.642339931618528e-19	-1.4046667106820077e-38	4.156940111329133e-38
104	4.6167658818158676e-17	9.611781072579141e-19	-1.0664272021427637e-38	3.2141529498071314e-38
105	4.7816911555477007e-17	9.346163302672558e-19	-4.203823785671909e-38	2.8138516798458214e-38
106	4.952893285099475e-17	9.633248299847347e-19	-4.186870426523406e-38	3.93654580500021e-38
107	5.1768295030545144e-17	1.0295405963832614e-18	2.8898943305022055e-38	4.408538574649997e-38
108	5.3446222657845774e-17	1.0989748927158962e-18	1.3955384535329435e-38	3.895469901548472e-38
109	5.581938751097837e-17	1.1683299914907925e-18	-2.866519911802105e-38	3.411067721777539e-38
110	5.762843292167666e-17	1.1822778204527186e-18	3.164888610471444e-38	4.5503339429034056e-38
111	5.93852076132318e-17	1.1575015491952658e-18	8.990371270765965e-39	4.854927320384196e-38
112	6.216427991036483e-17	1.3099976001985825e-18	-6.207475529467988e-38	4.31282407736018e-38
113	6.379138899718375e-17	1.1563044430178157e-18	-5.202876512917572e-38	5.631108779384691e-38
114	6.624631398310298e-17	1.1831675258611709e-18	8.772267981467503e-39	4.936401850438723e-38
115	6.880951554365623e-17	1.2119525910603806e-18	-1.7929988597821973e-38	4.422001971391452e-38
116	7.167438051371282e-17	1.2530109055887434e-18	-6.135445121902968e-38	5.651939195437076e-38
117	7.486224872727252e-17	1.3387123872630317e-18	-5.307480804410322e-38	5.014104622050659e-38
118	7.770410863265799e-17	1.3565841865666725e-18	1.5814813541174094e-38	5.688962511604349e-38
119	8.169294803460147e-17	1.4992234813772547e-18	-2.6571415107259713e-38	6.699869827194967e-38
120	8.520421611612936e-17	1.480133511202089e-18	1.8394677950686203e-38	5.852875121034738e-38
121	8.911980632902092e-17	1.569228103572446e-18	2.1575675401070996e-37	8.249260277132602e-38
122	9.351260716674147e-17	1.6038886542091708e-18	-2.162051013739956e-38	8.021693671249657e-38
123	9.814717922547958e-17	1.5759356874494182e-18	-1.4163458528992655e-37	6.799749011428579e-38
124	1.0425187753359799e-16	1.6780933118698462e-18	4.122970531688804e-38	7.760907260369606e-38
125	1.1320629420339048e-16	1.8525096424725176e-18	5.684951051382448e-39	1.0107482311087514e-37
126	1.2477371519526662e-16	2.065159525184125e-18	2.2336691003512815e-37	1.310320771487859e-37
127	1.4593615305959104e-16	2.408053707488845e-18	2.647158354533685e-38	1.6838974625009628e-37
